,MSA,patents,exports,population,crime,Year
1,San Jose-Sunnyvale-Santa Clara-CA,14618,"19,82,72,01,627",1976836,"1,134",2015
6,San Diego-Carlsbad-San Marcos-CA,5460,"17,43,97,33,545",3299521,"22,570",2015
9,Minneapolis-St. Paul-Bloomington-MN-WI,3419,"19,60,86,13,988",3524583,483,2015
11,Houston-Sugar Land-Baytown-TX,3186,"97,05,43,25,126",6656947,"2,163",2015
13,Austin-Round Rock-San Marcos-TX,2700,"10,09,44,97,878",2000860,"5,770",2015
17,Atlanta-Sandy Springs-Marietta-GA,2143,"19,16,39,41,224",5710795,"22,765",2015
18,Phoenix-Mesa-Glendale-AZ,1764,"13,82,15,28,121",4574531,695,2015
22,Denver-Aurora-Broomfield-CO,1202,"3,90,95,40,425",2814330,"10,206",2015
24,Cincinnati-Middletown-OH-KY-IN,1048,"24,12,70,04,608",2157719,"5,385",2015
26,Bremerton-Silverdale-WA,907,"8,00,81,750",260131,654,2015
27,Pittsburgh-PA,895,"9,13,71,02,613",2353045,546,2015
29,Baltimore-Towson-MD,846,"6,04,71,72,773",2797407,"17,462",2015
30,Hartford-West Hartford-East Hartford-CT,845,"10,09,24,09,626",1211324,218,2015
31,Boulder-CO,831,"1,03,90,73,210",319372,,2015
32,Kansas City-MO-KS,816,"6,72,32,34,015",2087471,511,2015
33,Ann Arbor-MI,785,"1,05,29,59,525",358880,"1,150",2015
34,St. Louis-MO-IL,779,"8,91,37,08,569",2811588,"5,756",2015
35,Indianapolis-Carmel-IN,735,"9,80,94,00,594",1988817,441,2015
36,Boise City-Nampa-ID,722,"2,66,79,96,578",676909,"1,585",2015
37,Milwaukee-Waukesha-West Allis-WI,689,"7,95,35,76,283",1575747,"10,059",2015
38,Santa Cruz-Watsonville-CA,678,"78,96,58,000",274146,"1,432",2015
39,Sacramento--Arden-Arcade--Roseville-CA,659,"8,10,11,91,529",2274194,"1,172",2015
40,Salt Lake City-UT,643,"10,38,05,42,546",1170266,395,2015
41,Tucson-AZ,641,"2,48,58,51,703",1010025,"4,895",2015
42,Worcester-MA,637,"3,14,41,31,521",935536,732,2015
43,Bridgeport-Stamford-Norwalk-CT,636,"9,20,75,42,605",948053,"1,882",2015
44,Tampa-St. Petersburg-Clearwater-FL,624,"5,66,04,23,267",2975225,700,2015
46,Oxnard-Thousand Oaks-Ventura-CA,571,"2,99,16,55,286",850536,"2,988",2015
48,Trenton-Ewing-NJ,542,"81,28,52,181",371398,"4,266",2015
49,Providence-New Bedford-Fall River-RI-MA,496,"5,04,88,21,525",1613070,419,2015
50,Riverside-San Bernardino-Ontario-CA,484,"8,96,99,86,984",4489159,671,2015
52,Santa Barbara-Santa Maria-Goleta-CA,468,"1,32,86,28,972",444769,"1,898",2015
54,Madison-WI,455,"2,28,04,47,534",641385,"1,137",2015
56,Palm Bay-Melbourne-Titusville-FL,450,"1,22,44,62,098",568088,"1,029",2015
57,Orlando-Kissimmee-Sanford-FL,446,"3,08,26,69,677",2387138,302,2015
59,Las Vegas-Paradise-NV,418,"2,91,61,58,459",2114801,974,2015
60,San Antonio-New Braunfels-TX,413,"15,91,92,34,604",2384075,"10,955",2015
61,Peoria-IL,410,"9,82,69,12,591",378018,"27,896",2015
62,Provo-Orem-UT,396,"2,21,64,49,642",585799,"1,004",2015
63,Fort Collins-Loveland-CO,392,"99,06,56,784",333577,"1,243",2015
64,Manchester-Nashua-NH,376,"1,55,65,85,023",406678,228,2015
65,Akron-OH,373,"3,01,93,38,047",704243,"1,588",2015
67,Memphis-TN-MS-AR,326,"11,81,95,37,163",1344127,"1,668",2015
69,Louisville/Jefferson County-KY-IN,300,"8,03,78,90,507",1278413,"2,548",2015
70,Albuquerque-NM,294,"1,76,11,98,923",907301,"7,179",2015
71,Greeley-CO,280,"1,24,00,51,423",285174,550,2015
73,Buffalo-Niagara Falls-NY,254,"4,68,45,63,316",1135230,"4,558",2015
74,Reno-Sparks-NV,243,"1,94,33,08,238",450890,"3,003",2015
76,Santa Rosa-Petaluma-CA,233,"1,11,97,71,766",502146,"1,520",2015
77,Nashville-Davidson--Murfreesboro--Franklin-TN,220,"9,35,29,94,440",1830345,218,2015
78,Des Moines-West Des Moines-IA,218,"1,04,77,93,642",622899,"2,287",2015
79,Knoxville-TN,218,"2,39,54,29,602",861424,478,2015
80,Syracuse-NY,217,"1,93,03,40,581",660458,"2,907",2015
81,Grand Rapids-Wyoming-MI,217,"5,14,29,57,152",1038583,205,2015
82,Colorado Springs-CO,204,"83,24,09,698",697856,"2,511",2015
84,Ogden-Clearfield-UT,197,"1,41,55,80,778",642850,"6,274",2015
85,Cedar Rapids-IA,193,"87,34,50,129",266040,497,2015
87,Huntsville-AL,190,"1,34,47,37,221",444752,257,2015
