"MSA","Year","gdp"
"Abilene, TX","2013","6,922"
"Akron, OH","2013","31,308"
"Albany, GA","2013","5,247"
"Albany, OR","2013","3,559"
"Albany-Schenectady-Troy, NY","2013","47,094"
"Albuquerque, NM","2013","37,897"
"Alexandria, LA","2013","5,486"
"Allentown-Bethlehem-Easton, PA-NJ","2013","35,624"
"Altoona, PA","2013","4,928"
"Amarillo, TX","2013","12,442"
"Ames, IA","2013","4,429"
"Anchorage, AK","2013","31,030"
"Ann Arbor, MI","2013","20,260"
"Anniston-Oxford-Jacksonville, AL","2013","3,690"
"Appleton, WI","2013","10,801"
"Asheville, NC","2013","15,280"
"Athens-Clarke County, GA","2013","7,364"
"Atlanta-Sandy Springs-Roswell, GA","2013","3,07,750"
"Atlantic City-Hammonton, NJ","2013","12,770"
"Auburn-Opelika, AL","2013","4,328"
"Augusta-Richmond County, GA-SC","2013","21,155"
"Austin-Round Rock, TX","2013","1,11,720"
"Bakersfield, CA","2013","38,009"
"Baltimore-Columbia-Towson, MD","2013","1,67,270"
"Bangor, ME","2013","5,455"
"Barnstable Town, MA","2013","9,964"
"Baton Rouge, LA","2013","48,362"
"Battle Creek, MI","2013","5,588"
"Bay City, MI","2013","3,157"
"Beaumont-Port Arthur, TX","2013","23,734"
"Beckley, WV","2013","4,236"
"Bellingham, WA","2013","10,047"
"Bend-Redmond, OR","2013","6,882"
"Billings, MT","2013","8,959"
"Binghamton, NY","2013","9,119"
"Birmingham-Hoover, AL","2013","57,699"
"Bismarck, ND","2013","6,863"
"Blacksburg-Christiansburg-Radford, VA","2013","6,335"
"Bloomington, IL","2013","11,249"
"Bloomington, IN","2013","6,192"
"Bloomsburg-Berwick, PA","2013","3,604"
"Boise City, ID","2013","27,715"
"Boston-Cambridge-Newton, MA-NH","2013","3,64,804"
"Boulder, CO","2013","20,969"
"Bowling Green, KY","2013","6,284"
"Bremerton-Silverdale, WA","2013","9,448"
"Bridgeport-Stamford-Norwalk, CT","2013","92,545"
"Brownsville-Harlingen, TX","2013","9,366"
"Brunswick, GA","2013","3,504"
"Buffalo-Cheektowaga-Niagara Falls, NY","2013","52,474"
"Burlington, NC","2013","4,892"
"Burlington-South Burlington, VT","2013","12,337"
"California-Lexington Park, MD","2013","5,823"
"Canton-Massillon, OH","2013","15,987"
"Cape Coral-Fort Myers, FL","2013","21,858"
"Cape Girardeau, MO-IL","2013","3,884"
"Carbondale-Marion, IL","2013","4,782"
"Carson City, NV","2013","3,219"
"Casper, WY","2013","6,755"
"Cedar Rapids, IA","2013","16,395"
"Chambersburg-Waynesboro, PA","2013","4,948"
"Champaign-Urbana, IL","2013","11,096"
"Charleston, WV","2013","13,231"
"Charleston-North Charleston, SC","2013","32,720"
"Charlotte-Concord-Gastonia, NC-SC","2013","1,36,399"
"Charlottesville, VA","2013","11,116"
"Chattanooga, TN-GA","2013","23,143"
"Cheyenne, WY","2013","5,533"
"Chicago-Naperville-Elgin, IL-IN-WI","2013","5,85,948"
"Chico, CA","2013","7,048"
"Cincinnati, OH-KY-IN","2013","1,20,413"
"Clarksville, TN-KY","2013","10,413"
"Cleveland, TN","2013","3,912"
"Cleveland-Elyria, OH","2013","1,18,335"
"Coeur d'Alene, ID","2013","4,845"
"College Station-Bryan, TX","2013","8,723"
"Colorado Springs, CO","2013","28,791"
"Columbia, MO","2013","8,128"
"Columbia, SC","2013","34,762"
"Columbus, GA-AL","2013","13,369"
"Columbus, IN","2013","5,169"
"Columbus, OH","2013","1,13,236"
"Corpus Christi, TX","2013","24,254"
"Corvallis, OR","2013","4,413"
"Crestview-Fort Walton Beach-Destin, FL","2013","11,289"
"Cumberland, MD-WV","2013","3,001"
"Dallas-Fort Worth-Arlington, TX","2013","4,48,178"
"Dalton, GA","2013","5,490"
"Danville, IL","2013","2,868"
"Daphne-Fairhope-Foley, AL","2013","6,443"
"Davenport-Moline-Rock Island, IA-IL","2013","19,031"
"Dayton, OH","2013","36,999"
"Decatur, AL","2013","5,366"
"Decatur, IL","2013","5,822"
"Deltona-Daytona Beach-Ormond Beach, FL","2013","15,145"
"Denver-Aurora-Lakewood, CO","2013","1,73,016"
"Des Moines-West Des Moines, IA","2013","42,304"
"Detroit-Warren-Dearborn, MI","2013","2,20,277"
"Dothan, AL","2013","4,819"
"Dover, DE","2013","6,314"
"Dubuque, IA","2013","4,979"
"Duluth, MN-WI","2013","12,465"
"Durham-Chapel Hill, NC","2013","41,803"
"East Stroudsburg, PA","2013","5,581"
"Eau Claire, WI","2013","7,194"
"El Centro, CA","2013","5,770"
"Elizabethtown-Fort Knox, KY","2013","5,951"
"Elkhart-Goshen, IN","2013","11,784"
"Elmira, NY","2013","3,357"
"El Paso, TX","2013","26,582"
"Enid, OK","2013","3,256"
"Erie, PA","2013","10,862"
"Eugene, OR","2013","13,289"
"Evansville, IN-KY","2013","17,081"
"Fairbanks, AK","2013","5,178"
"Fargo, ND-MN","2013","13,282"
"Farmington, NM","2013","7,077"
"Fayetteville, NC","2013","17,094"
"Fayetteville-Springdale-Rogers, AR-MO","2013","22,415"
"Flagstaff, AZ","2013","5,201"
"Flint, MI","2013","12,369"
"Florence, SC","2013","7,709"
"Florence-Muscle Shoals, AL","2013","4,502"
"Fond du Lac, WI","2013","4,243"
"Fort Collins, CO","2013","14,114"
"Fort Smith, AR-OK","2013","10,097"
"Fort Wayne, IN","2013","18,795"
"Fresno, CA","2013","36,140"
"Gadsden, AL","2013","2,652"
"Gainesville, FL","2013","11,746"
"Gainesville, GA","2013","7,185"
"Gettysburg, PA","2013","2,919"
"Glens Falls, NY","2013","4,643"
"Goldsboro, NC","2013","4,330"
"Grand Forks, ND-MN","2013","4,912"
"Grand Island, NE","2013","4,041"
"Grand Junction, CO","2013","5,179"
"Grand Rapids-Wyoming, MI","2013","49,187"
"Grants Pass, OR","2013","1,948"
"Great Falls, MT","2013","3,102"
"Greeley, CO","2013","9,332"
"Green Bay, WI","2013","16,652"
"Greensboro-High Point, NC","2013","36,567"
"Greenville, NC","2013","7,320"
"Greenville-Anderson-Mauldin, SC","2013","34,669"
"Gulfport-Biloxi-Pascagoula, MS","2013","16,445"
"Hagerstown-Martinsburg, MD-WV","2013","8,846"
"Hammond, LA","2013","3,651"
"Hanford-Corcoran, CA","2013","4,907"
"Harrisburg-Carlisle, PA","2013","32,544"
"Harrisonburg, VA","2013","7,340"
"Hartford-West Hartford-East Hartford, CT","2013","82,699"
"Hattiesburg, MS","2013","5,316"
"Hickory-Lenoir-Morganton, NC","2013","11,867"
"Hilton Head Island-Bluffton-Beaufort, SC","2013","7,783"
"Hinesville, GA","2013","3,593"
"Homosassa Springs, FL","2013","3,087"
"Hot Springs, AR","2013","2,869"
"Houma-Thibodaux, LA","2013","11,528"
"Houston-The Woodlands-Sugar Land, TX","2013","4,88,430"
"Huntington-Ashland, WV-KY-OH","2013","14,853"
"Huntsville, AL","2013","22,534"
"Idaho Falls, ID","2013","5,522"
"Indianapolis-Carmel-Anderson, IN","2013","1,23,565"
"Iowa City, IA","2013","9,020"
"Ithaca, NY","2013","4,778"
"Jackson, MI","2013","5,801"
"Jackson, MS","2013","27,332"
"Jackson, TN","2013","5,788"
"Jacksonville, FL","2013","62,166"
"Jacksonville, NC","2013","7,859"
"Janesville-Beloit, WI","2013","5,816"
"Jefferson City, MO","2013","6,744"
"Johnson City, TN","2013","6,279"
"Johnstown, PA","2013","4,211"
"Jonesboro, AR","2013","4,781"
"Joplin, MO","2013","6,744"
